      0.000    1522.296
      4.364    1521.573
      8.728    1520.461
     13.092    1518.715
     17.456    1515.862
     21.820    1513.857
     26.184    1512.799
     30.548    1512.350
     34.912    1512.047
     39.276    1511.723
     43.640    1511.521
     48.004    1511.377
     52.368    1511.234
     56.732    1511.083
     61.096    1510.979
     65.460    1510.935
     69.824    1510.903
     74.188    1510.861
     78.552    1510.807
     82.916    1510.764
     87.280    1510.725
     91.644    1510.603
     96.008    1510.385
    100.372    1510.169
    104.736    1510.024
    109.100    1509.934
    113.464    1509.833
    117.828    1509.644
    122.192    1509.493
    126.556    1509.370
    130.920    1509.223
    135.284    1509.205
    139.648    1509.243
    144.012    1509.278
    148.376    1509.286
    152.740    1509.258
    157.104    1509.266
    161.468    1509.333
    165.832    1509.412
    170.196    1509.479
    174.560    1509.538
    178.924    1509.578
    183.288    1509.602
    
